sample_accession,run_accession,library_layout,organism,Platform,UMI,study_accession,Tissue,Covariate,Age,integration_group,TissueNote,Source,bam10x,Comment,biosample,Donor,Organ,sex,Batch,biosample_title,retina_region,strain,batch
#SRS5055856,SRR9631695,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12201931,NA,Eye,NA,NA,Mac_R48_C31,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055855,SRR9631694,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12201932,NA,Eye,NA,NA,Mac_R48_C28,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055854,SRR9631693,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12201843,NA,Eye,NA,NA,Mac_R48_C27,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055853,SRR9631692,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12201844,NA,Eye,NA,NA,Mac_R48_C0,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055852,SRR9631691,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12201845,NA,Eye,NA,NA,Mac_R47_C8,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055851,SRR9631690,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12201846,NA,Eye,NA,NA,Mac_R47_C5,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055850,SRR9630345,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12200861,NA,Eye,NA,NA,sample_R51_C42,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055849,SRR9630344,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12200862,NA,Eye,NA,NA,sample_R51_C41,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055848,SRR9630343,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12200863,NA,Eye,NA,NA,sample_R51_C3,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055847,SRR9630342,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12200864,NA,Eye,NA,NA,sample_R51_C39,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055846,SRR9630341,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12200865,NA,Eye,NA,NA,sample_R51_C38,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055845,SRR9630340,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12200866,NA,Eye,NA,NA,sample_R51_C36,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055844,SRR9630339,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12200867,NA,Eye,NA,NA,sample_R51_C34,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055843,SRR9630338,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12200868,NA,Eye,NA,NA,sample_R51_C33,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055842,SRR9629417,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12199793,NA,Eye,NA,NA,sample_R33_C22,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055841,SRR9629416,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12199794,NA,Eye,NA,NA,sample_R33_C19,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055840,SRR9629415,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12199795,NA,Eye,NA,NA,sample_R33_C17,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055839,SRR9629414,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12199796,NA,Eye,NA,NA,sample_R33_C15,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055838,SRR9629413,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12199797,NA,Eye,NA,NA,sample_R33_C14,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055837,SRR9629412,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12199798,NA,Eye,NA,NA,sample_R33_C10,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055836,SRR9629411,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12199799,NA,Eye,NA,NA,sample_R32_C70,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055835,SRR9629410,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12199800,NA,Eye,NA,NA,sample_R32_C68,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055834,SRR9628489,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12200141,NA,Eye,NA,NA,Per_R9_C51,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055833,SRR9628488,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12200142,NA,Eye,NA,NA,Per_R9_C50,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055832,SRR9628487,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12198968,NA,Eye,NA,NA,Per_R9_C49,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055831,SRR9628486,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12198969,NA,Eye,NA,NA,Per_R8_C8,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055830,SRR9628485,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12198970,NA,Eye,NA,NA,Per_R8_C5,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055829,SRR9628484,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12198971,NA,Eye,NA,NA,Per_R8_C56,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055828,SRR9628483,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12198731,NA,Eye,NA,NA,Per_R8_C53,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055827,SRR9628482,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P3,Adult,NA,P3,Tissue,NA,NA,SAMN12198732,NA,Eye,NA,NA,Per_R8_C50,NA,NA,SRP212788_SCRBSeq_P3
#SRS5055826,SRR9634112,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12196940,NA,Eye,NA,NA,M_R71_C64,NA,NA,SRP212788_SCRBSeq_P2
#SRS5055825,SRR9634111,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12196954,NA,Eye,NA,NA,M_R71_C44,NA,NA,SRP212788_SCRBSeq_P2
#SRS5055824,SRR9634110,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12196966,NA,Eye,NA,NA,M_R71_C42,NA,NA,SRP212788_SCRBSeq_P2
#SRS5055823,SRR9634109,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12196977,NA,Eye,NA,NA,M_R71_C19,NA,NA,SRP212788_SCRBSeq_P2
#SRS5055822,SRR9634108,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12197066,NA,Eye,NA,NA,M_R70_C71,NA,NA,SRP212788_SCRBSeq_P2
#SRS5055821,SRR9634107,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12196986,NA,Eye,NA,NA,M_R70_C65,NA,NA,SRP212788_SCRBSeq_P2
#SRS5055820,SRR9634106,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12196999,NA,Eye,NA,NA,M_R70_C63,NA,NA,SRP212788_SCRBSeq_P2
#SRS5055819,SRR9634105,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12197010,NA,Eye,NA,NA,M_R70_C46,NA,NA,SRP212788_SCRBSeq_P2
#SRS5055818,SRR9633122,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12191372,NA,Eye,NA,NA,M_R10_C16,NA,NA,SRP212788_SCRBSeq_P2
#SRS5055817,SRR9633121,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12191373,NA,Eye,NA,NA,M_R10_C14,NA,NA,SRP212788_SCRBSeq_P2
#SRS5055816,SRR9633120,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12191374,NA,Eye,NA,NA,M_R10_C12,NA,NA,SRP212788_SCRBSeq_P2
#SRS5055815,SRR9633119,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12191375,NA,Eye,NA,NA,M_R0_C68,NA,NA,SRP212788_SCRBSeq_P2
#SRS5055813,SRR9633118,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12191376,NA,Eye,NA,NA,M_R0_C65,NA,NA,SRP212788_SCRBSeq_P2
#SRS5055814,SRR9633117,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12191377,NA,Eye,NA,NA,M_R0_C41,NA,NA,SRP212788_SCRBSeq_P2
#SRS5055812,SRR9633116,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12191378,NA,Eye,NA,NA,M_R0_C22,NA,NA,SRP212788_SCRBSeq_P2
#SRS5055811,SRR9633115,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12191379,NA,Eye,NA,NA,M_R0_C16,NA,NA,SRP212788_SCRBSeq_P2
#SRS5055810,SRR9632281,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12190863,NA,Eye,NA,NA,Macular_R51_C62,Macula,NA,SRP212788_SCRBSeq_P2
#SRS5055809,SRR9632280,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12190864,NA,Eye,NA,NA,Macular_R51_C60,Macula,NA,SRP212788_SCRBSeq_P2
#SRS5055808,SRR9632279,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12190865,NA,Eye,NA,NA,Macular_R51_C5,Macula,NA,SRP212788_SCRBSeq_P2
#SRS5055807,SRR9632278,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12190866,NA,Eye,NA,NA,Macular_R51_C59,Macula,NA,SRP212788_SCRBSeq_P2
#SRS5055806,SRR9632277,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12190867,NA,Eye,NA,NA,Macular_R51_C58,Macula,NA,SRP212788_SCRBSeq_P2
#SRS5055805,SRR9632276,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12190868,NA,Eye,NA,NA,Macular_R51_C56,Macula,NA,SRP212788_SCRBSeq_P2
#SRS5055804,SRR9632275,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12190869,NA,Eye,NA,NA,Macular_R51_C50,Macula,NA,SRP212788_SCRBSeq_P2
#SRS5055803,SRR9632274,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12190870,NA,Eye,NA,NA,Macular_R51_C48,Macula,NA,SRP212788_SCRBSeq_P2
#SRS5055802,SRR9631561,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12190279,NA,Eye,NA,NA,Macular_R2_C20,Macula,NA,SRP212788_SCRBSeq_P2
#SRS5055801,SRR9631560,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12190280,NA,Eye,NA,NA,Macular_R2_C18,Macula,NA,SRP212788_SCRBSeq_P2
#SRS5055800,SRR9631559,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12190281,NA,Eye,NA,NA,Macular_R2_C12,Macula,NA,SRP212788_SCRBSeq_P2
#SRS5055799,SRR9631558,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12190282,NA,Eye,NA,NA,Macular_R29_C64,Macula,NA,SRP212788_SCRBSeq_P2
#SRS5055798,SRR9631557,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12190283,NA,Eye,NA,NA,Macular_R29_C5,Macula,NA,SRP212788_SCRBSeq_P2
#SRS5055797,SRR9631556,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12190284,NA,Eye,NA,NA,Macular_R29_C53,Macula,NA,SRP212788_SCRBSeq_P2
#SRS5055796,SRR9631555,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12190285,NA,Eye,NA,NA,Macular_R29_C50,Macula,NA,SRP212788_SCRBSeq_P2
#SRS5055795,SRR9631554,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P2,Adult,NA,P2,Tissue,NA,NA,SAMN12190288,NA,Eye,NA,NA,Macular_R29_C37,Macula,NA,SRP212788_SCRBSeq_P2
#SRS5055793,SRR9630777,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12190437,NA,Eye,NA,NA,Periph_Nuc_R64_C42,Peripheral,NA,SRP212788_SCRBSeq_P1
#SRS5055794,SRR9630776,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12190438,NA,Eye,NA,NA,Periph_Nuc_R64_C41,Peripheral,NA,SRP212788_SCRBSeq_P1
#SRS5055792,SRR9630775,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12190439,NA,Eye,NA,NA,Periph_Nuc_R64_C39,Peripheral,NA,SRP212788_SCRBSeq_P1
#SRS5055791,SRR9630774,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12190440,NA,Eye,NA,NA,Periph_Nuc_R64_C38,Peripheral,NA,SRP212788_SCRBSeq_P1
#SRS5055790,SRR9630773,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12190441,NA,Eye,NA,NA,Periph_Nuc_R64_C37,Peripheral,NA,SRP212788_SCRBSeq_P1
#SRS5055789,SRR9630772,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12190373,NA,Eye,NA,NA,Periph_Nuc_R64_C36,Peripheral,NA,SRP212788_SCRBSeq_P1
#SRS5055788,SRR9630771,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12190374,NA,Eye,NA,NA,Periph_Nuc_R64_C21,Peripheral,NA,SRP212788_SCRBSeq_P1
#SRS5055787,SRR9630770,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12190375,NA,Eye,NA,NA,Periph_Nuc_R64_C15,Peripheral,NA,SRP212788_SCRBSeq_P1
#SRS5055786,SRR9629857,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12189584,NA,Eye,NA,NA,Macu_Nuc_R61_C55,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055785,SRR9629856,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12189585,NA,Eye,NA,NA,Macu_Nuc_R61_C51,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055783,SRR9629855,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12189586,NA,Eye,NA,NA,Macu_Nuc_R61_C33,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055784,SRR9629854,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12189587,NA,Eye,NA,NA,Macu_Nuc_R61_C29,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055782,SRR9629853,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12189588,NA,Eye,NA,NA,Macu_Nuc_R61_C28,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055781,SRR9629852,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12189589,NA,Eye,NA,NA,Macu_Nuc_R61_C26,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055780,SRR9629851,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12189590,NA,Eye,NA,NA,Macu_Nuc_R61_C10,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055779,SRR9629850,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12189591,NA,Eye,NA,NA,Macu_Nuc_R60_C6,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055778,SRR9629009,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12189210,NA,Eye,NA,NA,Mac1cell_R66_C54,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055777,SRR9629008,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12189211,NA,Eye,NA,NA,Mac1cell_R66_C52,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055776,SRR9629007,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12189212,NA,Eye,NA,NA,Mac1cell_R66_C49,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055775,SRR9629006,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12189213,NA,Eye,NA,NA,Mac1cell_R66_C43,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055773,SRR9629005,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12189214,NA,Eye,NA,NA,Mac1cell_R66_C40,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055774,SRR9629004,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12189215,NA,Eye,NA,NA,Mac1cell_R66_C36,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055772,SRR9629003,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12189216,NA,Eye,NA,NA,Mac1cell_R66_C2,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055771,SRR9629002,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12189217,NA,Eye,NA,NA,Mac1cell_R66_C27,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055770,SRR9634040,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12188119,NA,Eye,NA,NA,Mac1cell_R21_C64,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055769,SRR9634039,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12188120,NA,Eye,NA,NA,Mac1cell_R21_C63,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055768,SRR9634038,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12188121,NA,Eye,NA,NA,Mac1cell_R21_C61,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055767,SRR9634037,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12188125,NA,Eye,NA,NA,Mac1cell_R21_C59,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055766,SRR9634036,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12188126,NA,Eye,NA,NA,Mac1cell_R21_C58,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055765,SRR9634035,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12188127,NA,Eye,NA,NA,Mac1cell_R21_C54,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055764,SRR9634034,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12188123,NA,Eye,NA,NA,Mac1cell_R21_C52,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055763,SRR9634033,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12188124,NA,Eye,NA,NA,Mac1cell_R21_C48,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055762,SRR9628297,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12188964,NA,Eye,NA,NA,Mac1cell_R42_C67,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055761,SRR9628296,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12188965,NA,Eye,NA,NA,Mac1cell_R42_C66,NA,NA,SRP212788_SCRBSeq_P1
#SRS5055760,SRR9628295,SINGLE,Homo sapiens,SCRBSeq,No,SRP212788,Retina,P1,Adult,NA,P1,Tissue,NA,NA,SAMN12188966,NA,Eye,NA,NA,Mac1cell_R42_C65,NA,NA,SRP212788_SCRBSeq_P1
